ID,Country,City,School,City Confidence,Notes,Source Page
830,Indonesia,Jakarta,Jakarta World Academy,High,,f_pak
831,Indonesia,Kuta Lombok,Mandalika Intercultural School,Medium,"Mandalika, Lombok",f_pak
832,Indonesia,Medan,Medan Independent School,High,,f_pak
833,Indonesia,Tembagapura,Mt. Zaagkam International School,High,Papua,f_pak
834,Indonesia,Jakarta,Netherlands Inter-Community School,High,,f_pak
835,Indonesia,Jakarta,New Zealand Independent School,High,,f_pak
836,Indonesia,Jakarta,North Jakarta International School,High,,f_pak
837,Indonesia,Denpasar,ProEd Global School,Medium,Bali; Umalas/Kerobokan campus,f_pak
838,Indonesia,Jakarta,Royal Buckingham International School,High,"Sunter, North Jakarta",f_pak
839,Indonesia,Jakarta,Royal Primary Academy,High,,f_pak
840,Indonesia,Denpasar,Sanur Independent School,High,Sanur,f_pak
841,Indonesia,Surabaya,Sekolah Ciputra,High,,f_pak
842,Indonesia,Denpasar,Sekolah Lentera Kasih Bali,Medium,Bali,f_pak
843,Indonesia,Mataram,Sekolah Nusa Alam,High,Lombok,f_pak
844,Indonesia,Tangerang,Sekolah Pelita Harapan,High,group with multiple campuses; Lippo Village main campus given,f_pak
845,Indonesia,Jakarta,Sekolah Tiara Bangsa – ACS,High,,f_pak
846,Indonesia,Tangerang,Sinarmas World Academy,High,BSD City,f_pak
847,Indonesia,Jakarta,Singapore International School,High,group with multiple campuses in Indonesia,f_pak
848,Indonesia,Surabaya,Singapore National Academy,High,,f_pak
849,Indonesia,Jakarta,Springfield School,Medium,,f_pak
850,Indonesia,Denpasar,Sunrise School Bali,Medium,"Kerobokan, Bali",f_pak
851,Indonesia,Surabaya,Surabaya European School,High,,f_pak
852,Indonesia,Surabaya,Surabaya Intercultural School,High,,f_pak
853,Indonesia,Jakarta,Tzu Chi School,High,,f_pak
854,Indonesia,Yogyakarta,Yogyakarta International School,High,,f_pak
855,Iran,Tehran,British School Tehran,High,,f_pak
856,Iraq,Baghdad,American International School,Low,ambiguous name,f_pak
857,Iraq,Erbil,British International Schools,Medium,British International Schools in Kurdistan,f_pak
858,Iraq,Baghdad,English International School Baghdad,High,,f_pak
859,Iraq,Erbil,Ihsan Dogramaci Erbil College,High,,f_pak
860,Iraq,Erbil,International Maarif Schools Erbil,High,,f_pak
861,Iraq,Erbil,Ronaki International School Erbil,High,,f_pak
862,Iraq,Erbil,SABIS International School Choueifat Erbil,High,,f_pak
863,Iraq,Sulaymaniyah,SABIS International School Choueifat Sulaimani,High,,f_pak
864,Iraq,Zakho,Zakho British International School,High,,f_pak
865,Israel,Jerusalem,Anglican International School Jerusalem,High,,f_pak
866,Israel,Even Yehuda,Walworth Barbour American International,High,near Tel Aviv,f_pak
867,Italy,Rome,Ambrit International School,High,,f_pak
868,Italy,Rome,American Overseas School Rome,High,,f_pak
869,Italy,Milan,American School Milan,High,Noverasco di Opera,f_pak
870,Italy,Naples,Benedict School,Medium,Pomigliano d'Arco,f_pak
871,Italy,Milan,Bilingual European School,High,,f_pak
872,Italy,Turin,Bilingual European School Turin,High,,f_pak
873,Italy,Milan,British School Milan,High,,f_pak
874,Italy,Lanciano,Canadian College Italy,High,,f_pak
875,Italy,Padua,English International School Padua,High,,f_pak
876,Italy,Trieste,European School Trieste,High,,f_pak
877,Italy,Treviso,H-International School Treviso,High,,f_pak
878,Italy,Milan,ICS Milan International School,High,,f_pak
879,Italy,Bologna,International School Bologna,High,,f_pak
880,Italy,Brescia,International School Brescia,High,,f_pak
881,Italy,Florence,International School Florence,High,,f_pak
882,Italy,Genoa,International School Genoa,High,,f_pak
883,Italy,Milan,International School Milan,High,,f_pak
884,Italy,Treviso,International School Treviso,High,,f_pak
885,Italy,Trieste,International School Trieste,High,,f_pak
886,Italy,Turin,International School Turin,High,,f_pak
887,Italy,Verona,International School Verona,High,,f_pak
888,Italy,Brescia,Lonati Anglo American School,High,,f_pak
889,Italy,Rome,Marymount International Rome,High,,f_pak
890,Italy,Modena,Peter Pan English Preschool,Medium,,f_pak
891,Italy,Milan,Play English Bilingual School Milan,High,,f_pak
892,Italy,Monza,Play English Bilingual School Monza,High,,f_pak
893,Italy,Rome,Rome International School,High,,f_pak
894,Italy,Milan,Sir James Henderson School,High,now British School of Milan,f_pak
895,Italy,Rome,St. George's British International School,High,,f_pak
896,Italy,Milan,St Louis School Milan,High,,f_pak
897,Italy,Udine,Udine International School,High,,f_pak
898,Italy,Pisa,Westminster International School,High,,f_pak
899,Jamaica,Kingston,American International School of Kingston,High,,f_pak
900,Jamaica,Montego Bay,Fairfield International Academy,High,,f_pak
901,Japan,Sendai,Abroad International School Sendai,High,,f_pak
902,Japan,Nagoya,Aichi International School,Medium,,f_pak
903,Japan,Hiroshima,AICJ Academy for International Community,High,,f_pak
904,Japan,Tokyo,American School in Japan,High,Chofu,f_pak
905,Japan,Tokyo,Aoba Japan International School,High,,f_pak
906,Japan,Tokyo,British School Tokyo,High,,f_pak
907,Japan,Kobe,Canadian Academy,High,,f_pak
908,Japan,Tokyo,Canadian International School,High,,f_pak
909,Japan,Tokyo,Capital Tokyo International School,High,,f_pak
910,Japan,Tokyo,Christian Academy in Japan,High,Higashikurume,f_pak
911,Japan,Tokyo,Chiyoda International School,Medium,,f_pak
912,Japan,Kyoto,Doshisha International School Kyoto,High,,f_pak
913,Japan,Tokyo,EMS International,Low,could not identify school,f_pak
914,Japan,Kampala,Felice International School,Medium,"listed under Japan on source - actually in Kampala, Uganda",f_pak
915,Japan,Fukuoka,Fukuoka International School,High,,f_pak
916,Japan,Tokyo,Global Indian International School,High,,f_pak
917,Japan,Ota,Gunma Kokusai Academy,High,Gunma Prefecture,f_pak
918,Japan,Hachimantai,Harrow International School Appi,High,"Appi Kogen, Iwate",f_pak
919,Japan,Hiroshima,Hiroshima International School,High,,f_pak
920,Japan,Sapporo,Hokkaido International School,High,,f_pak
921,Japan,Yokohama,Horizon Japan International School,High,,f_pak
922,Japan,Tokyo,International School Sacred Heart,High,,f_pak
923,Japan,Tokyo,Jingumae International Exchange School,High,,f_pak
924,Japan,Tokyo,K International School Tokyo,High,,f_pak
925,Japan,Tokyo,KAIS International School,High,,f_pak
926,Japan,Numazu,Katoh Gakuen,High,,f_pak
927,Japan,Kumamoto,Kumamoto International School,High,,f_pak
928,Japan,Kyoto,Kyoto International School,High,,f_pak
929,Japan,Dazaifu,Linden Hall Elementary School Japan,High,Fukuoka Prefecture,f_pak
930,Japan,Chiba,Makuhari International School,High,,f_pak
931,Japan,Kobe,Marist Brothers International School Kobe,High,,f_pak
932,Japan,Nagoya,Nagoya International High School,High,,f_pak
933,Japan,Nagoya,Nagoya International School,High,,f_pak
934,Japan,Tokyo,Nishimachi International School,High,,f_pak
935,Japan,Uruma,Okinawa Amicus International,High,Okinawa,f_pak
936,Japan,Osaka,Osaka International School Kwansei Gakuin,High,Minoh,f_pak
937,Japan,Osaka,Osaka YMCA International School,High,,f_pak
938,Japan,Tokyo,Phoenix House International School,High,,f_pak
939,Japan,Tokyo,Seisen International School,High,,f_pak
940,Japan,Tokyo,St. Mary's International School,High,,f_pak
941,Japan,Yokohama,St. Maur Intl School Yokohama,High,,f_pak
942,Japan,Tokyo,Summerhill International School,High,,f_pak
943,Japan,Tokyo,Tamagawa Academy K-12 Tokyo,High,Machida,f_pak
944,Japan,Tokyo,Tathva International School,High,,f_pak
945,Japan,Sendai,Tohoku International School Sendai,High,,f_pak
946,Japan,Tokyo,Tokyo International School,High,,f_pak
947,Japan,Tokyo,Tokyo Korean School,High,,f_pak
948,Japan,Tokyo,Tokyo YMCA International School,High,,f_pak
949,Japan,Tsukuba,Tsukuba International School,High,,f_pak
950,Japan,Tokyo,United School Tokyo,High,,f_pak
951,Japan,Karuizawa,United World College ISAK,High,,f_pak
952,Japan,Tokyo,Waseda International School Tokyo,High,,f_pak
953,Japan,Tokyo,Willowbrook International School,High,,f_pak
954,Japan,Yokohama,Yokohama International School,High,,f_pak
955,Japan,Tokyo,Yoyogi International School,High,,f_pak
956,Jordan,Amman,American Community School of Amman,High,,f_pak
957,Jordan,Amman,Amman Baccalaureate School,High,,f_pak
958,Jordan,Aqaba,Aqaba International School,High,,f_pak
959,Jordan,Amman,International Academy Amman,High,,f_pak
960,Jordan,Amman,International Community School,High,,f_pak
961,Jordan,Madaba,King's Academy,High,"Boarding school in Manja, Madaba governorate, near Amman",f_pak
962,Jordan,Amman,Modern American School,High,,f_pak
963,Jordan,Amman,The School of Life,Low,,f_pak
964,Kazakhstan,Almaty,Almaty International School,High,,f_pak
965,Kazakhstan,Astana,Ardingly Astana,High,,f_pak
966,Kazakhstan,Almaty,Haileybury Almaty,High,,f_pak
967,Kazakhstan,Astana,Haileybury Astana,High,,f_pak
968,Kazakhstan,Almaty,Kazakhstan International School Almaty,High,,f_pak
969,Kazakhstan,Astana,Kazakhstan International School Astana,High,,f_pak
970,Kazakhstan,Astana,Miras Astana International School,High,,f_pak
971,Kazakhstan,Almaty,Miras International School Almaty,High,,f_pak
972,Kazakhstan,Astana,Nazarbayev Intellectual Schools,Medium,Network of ~20 schools across Kazakhstan; head office in Astana,f_pak
973,Kazakhstan,Astana,NurOrda International School,High,,f_pak
974,Kazakhstan,Astana,Quality Schools International Astana,High,,f_pak
975,Kazakhstan,Atyrau,Quality Schools International Atyrau,High,,f_pak
976,Kazakhstan,Astana,Spectrum International School,High,,f_pak
977,Kenya,Mombasa,Aga Khan Academy Mombasa,High,,f_pak
978,Kenya,Nairobi,Aga Khan Academy Nairobi,High,,f_pak
979,Kenya,Nairobi,Banda School Nairobi,High,,f_pak
980,Kenya,Nairobi,Braeburn School,High,Group with multiple campuses; original Nairobi campus given,f_pak
981,Kenya,Nairobi,Brookhouse School,High,,f_pak
982,Kenya,Nairobi,Durham International School,High,,f_pak
983,Kenya,Nairobi,Hillcrest International School,High,,f_pak
984,Kenya,Nairobi,Hillcrest Secondary School Nairobi,High,,f_pak
985,Kenya,Nairobi,International School of Kenya,High,,f_pak
986,Kenya,Gilgil,Pembroke House,High,,f_pak
987,Kenya,Nairobi,St. Austin's Academy Nairobi,High,,f_pak
988,Kenya,Nairobi,West Nairobi School,High,,f_pak
989,Korea,Seoul,Asia Pacific International School,High,,f_pak
990,Korea,Seongnam,BIS Canada,Medium,Bundang district,f_pak
991,Korea,Seogwipo,Branksome Hall Asia,High,Jeju Global Education City,f_pak
992,Korea,Busan,Busan Foreign School,High,,f_pak
993,Korea,Seoul,Canada International School,Medium,,f_pak
994,Korea,Seoul,Centennial Christian School,Medium,,f_pak
995,Korea,Incheon,Chadwick International,High,Songdo,f_pak
996,Korea,Incheon,Cheongna Dalton School,High,Cheongna district,f_pak
997,Korea,Gapyeong,CheongShim International Academy,High,,f_pak
998,Korea,Yeosu,Child U-Yeosu,High,,f_pak
999,Korea,Daegu,Daegu International School,High,,f_pak
1000,Korea,Seoul,Dwight School Seoul,High,,f_pak
1001,Korea,Iksan,ECC Ik-San,High,,f_pak
1002,Korea,Seoul,Etonhouse Prep Seoul,High,,f_pak
1003,Korea,Jeonju,Global Prodigy Academy,High,,f_pak
1004,Korea,Eumseong,Global Vision Christian School,Medium,,f_pak
1005,Korea,Suwon,Gyeonggi Global School,Low,Could not verify; Gyeonggi province,f_pak
1006,Korea,Suwon,Gyeonggi International School,Low,Possibly duplicate of Gyeonggi Suwon International School,f_pak
1007,Korea,Suwon,Gyeonggi Suwon International School,High,,f_pak
1008,Korea,Sacheon,Gyeongnam International Foreign School,High,,f_pak
1009,Korea,Pohang,Handong International School,High,,f_pak
1010,Korea,Ulsan,Hyundai Foreign School,High,,f_pak
1011,Korea,Uijeongbu,Indianhead International School,Medium,,f_pak
1012,Korea,Seoul,International Christian School Seoul,High,,f_pak
1013,Korea,Pyeongtaek,International Christian School Pyeongtaek,High,,f_pak
1014,Korea,Busan,International School Busan,High,,f_pak
1015,Korea,Geoje,International School Koje,High,,f_pak
1016,Korea,Seoul,Korea Foreign School,High,,f_pak
1017,Korea,Seongnam,Korea International School,High,Pangyo main campus; also Seoul campus,f_pak
1018,Korea,Seoul,Korea Kent Foreign School,High,,f_pak
1019,Korea,Gwangju,Kwangju Foreign School,High,,f_pak
1020,Korea,Seoul,Namsan International School,High,,f_pak
1021,Korea,Seoul,New Zealand International School,Low,,f_pak
1022,Korea,Seogwipo,North London Collegiate School,High,"NLCS Jeju, Jeju Global Education City",f_pak
1023,Korea,Seoul,Seoul Foreign School,High,,f_pak
1024,Korea,Seongnam,Seoul International School,High,,f_pak
1025,Korea,Seogwipo,St. Johnsbury Academy,High,Jeju Global Education City,f_pak
1026,Korea,Seoul,St. Paul Preparatory School,High,,f_pak
1027,Korea,Daejeon,Taejon Christian International,High,,f_pak
1028,Korea,Seoul,Yongsan International School Seoul,High,,f_pak
1029,Kosovo,Pristina,American School of Kosova,High,,f_pak
1030,Kosovo,Pristina,International Learning Group School Kosovo,High,,f_pak
1031,Kosovo,Pristina,Prishtina High School,High,,f_pak
1032,Kurdistan,Duhok,American International School,Medium,Kurdistan Region of Iraq; AIS Duhok,f_pak
1033,Kurdistan,Erbil,British International Schools,Medium,"Group with campuses in Erbil, Sulaymaniyah, Duhok; Erbil given",f_pak
1034,Kurdistan,Erbil,Ihsan Dogramaci Erbil College,High,,f_pak
1035,Kurdistan,Erbil,International Maarif Schools Erbil,High,,f_pak
1036,Kurdistan,Erbil,Ronaki International School Erbil,High,,f_pak
1037,Kurdistan,Erbil,SABIS International School of Choueifat Erbil,High,,f_pak
1038,Kurdistan,Zakho,Zakho British International School,High,,f_pak
1039,Kuwait,Kuwait City,A'Rowad Bilingual School,Low,,f_pak
1040,Kuwait,Kuwait City,A'Takamul International School,Medium,Sabah Al-Salem area,f_pak
1041,Kuwait,Kuwait City,Ajial Bilingual School,Medium,"Riggae, Farwaniya governorate",f_pak
1042,Kuwait,Salwa,Al Danah Universal School,High,,f_pak
1043,Kuwait,Kuwait City,Al Nibras International School,Low,,f_pak
1044,Kuwait,Kuwait City,Al'Maalee Bilingual School,Low,,f_pak
1045,Kuwait,Hawalli,Al-Bayan Bilingual School,High,,f_pak
1046,Kuwait,Hawalli,Al Bayan International School,Medium,,f_pak
1047,Kuwait,Kuwait City,Al-Ghanim Bilingual School,Low,,f_pak
1048,Kuwait,Salwa,American Academy for Girls,High,,f_pak
1049,Kuwait,Hawalli,American Baccalaureate School,High,,f_pak
1050,Kuwait,Hawalli,American Creativity Academy,High,Also Khaitan campus,f_pak
1051,Kuwait,Salmiya,American International School Kuwait,High,,f_pak
1052,Kuwait,Hawalli,American School Kuwait,High,,f_pak
1053,Kuwait,Kuwait City,American United School,Medium,Sabah Al-Salem area,f_pak
1054,Kuwait,Mangaf,Australian College Kuwait,Medium,Also Mishref campus,f_pak
1055,Kuwait,Salwa,"British School, The",High,British School of Kuwait,f_pak
1056,Kuwait,Hawalli,Cambridge English School Hawalli,High,,f_pak
1057,Kuwait,Mangaf,Cambridge English School Mangaf,High,,f_pak
1058,Kuwait,Kuwait City,Canadian Bilingual School Kuwait,Low,,f_pak
1059,Kuwait,Kuwait City,Canadian School of Kuwait,Low,,f_pak
1060,Kuwait,Kuwait City,Conductive Education School,Low,,f_pak
1061,Kuwait,Kuwait City,Creative Children International School,Low,,f_pak
1062,Kuwait,Kuwait City,Dasman Bilingual School,High,,f_pak
1063,Kuwait,Kuwait City,English Academy,Low,,f_pak
1064,Kuwait,Salwa,English Playgroup and Primary School,Medium,Multiple branches,f_pak
1065,Kuwait,Fahaheel,English School Fahaheel,High,,f_pak
1066,Kuwait,Salmiya,English School for Girls,Medium,,f_pak
1067,Kuwait,Salmiya,"English School, The",Medium,,f_pak
1068,Kuwait,Salmiya,Fawzia Sultan International School,High,,f_pak
1069,Kuwait,Kuwait City,Future Bilingual School,Low,,f_pak
1070,Kuwait,Kuwait City,Global Bilingual Academy,Low,,f_pak
1071,Kuwait,Kuwait City,Gulf Bilingual School for Disabled,Low,,f_pak
1072,Kuwait,Salmiya,Gulf British Academy,High,,f_pak
1073,Kuwait,Salmiya,Gulf English School,High,,f_pak
1074,Kuwait,Salmiya,Hayat Universal Bilingual School,High,,f_pak
1075,Kuwait,Kuwait City,Hope School for Special Needs,Low,,f_pak
1076,Kuwait,Kuwait City,Indian School,Low,Ambiguous name,f_pak
1077,Kuwait,Kuwait City,International Academy Kuwait,Low,,f_pak
1078,Kuwait,Kuwait City,International British School Kuwait,Low,,f_pak
1079,Kuwait,Salmiya,International School Kuwait,Medium,,f_pak
1080,Kuwait,Kuwait City,Iqra'a American School Kuwait,Low,,f_pak
1081,Kuwait,Kuwait City,Kuwait Bilingual School,Low,,f_pak
1082,Kuwait,Kuwait City,Kuwait Bilingual School No 1,Low,,f_pak
1083,Kuwait,Salwa,Kuwait English School,High,,f_pak
1084,Kuwait,Salmiya,Kuwait International English School,Medium,,f_pak
1085,Kuwait,Kuwait City,Kuwait National English School (KNES),Medium,Khaitan area,f_pak
1086,Kuwait,Kuwait City,Manarat School for Learning Difficulties,Low,,f_pak
1087,Kuwait,Kuwait City,Martyr Asrar Al-Qabandi Bilingual School,Low,,f_pak
1088,Kuwait,Kuwait City,New English School,High,Jabriya area,f_pak
1089,Kuwait,Kuwait City,Nottingham British School,High,"Jleeb Al-Shuyoukh, Farwaniya governorate",f_pak
1090,Kuwait,Kuwait City,Oxford Academy,Low,,f_pak
1091,Kuwait,Salmiya,Rawd Al Saleheen,Medium,,f_pak
1092,Kuwait,Salmiya,The English School Kuwait,Medium,"Possible duplicate of ""English School, The""",f_pak
1093,Kuwait,Hawalli,Universal American School,High,,f_pak
1094,Kyrgyzstan,Bishkek,Bishkek International School,High,,f_pak
1095,Kyrgyzstan,Bishkek,Cambridge Silk Road IS Kyrgyzstan,Medium,,f_pak
1096,Kyrgyzstan,Bishkek,Oxford International School,Medium,,f_pak
1097,Kyrgyzstan,Bishkek,QSI Bishkek,High,,f_pak
1098,Laos,Vientiane,Kiettisack International Schools,High,,f_pak
1099,Laos,Vientiane,Vientiane International School,High,,f_pak
1100,Latvia,Riga,Exupery International School,High,"Pinki, Riga suburb",f_pak
1101,Latvia,Riga,International School Riga,High,,f_pak
1102,Latvia,Riga,International School Latvia,High,"Pinki, Riga suburb",f_pak
1103,Latvia,Riga,Kings College Latvia,High,,f_pak
1104,Lebanon,Beirut,American Community School Beirut,High,,f_pak
1105,Lebanon,Beirut,International College Beirut,High,,f_pak
1106,Lebanon,Choueifat,International School of Chouiefat Beruit,High,"Source typos: Choueifat, Beirut; school is in Choueifat, south of Beirut",f_pak
1107,Lebanon,Beirut,Wellspring Learning Community,High,,f_pak
1108,Lesotho,Maseru,American International School of Lesotho,High,,f_pak
1109,Lesotho,Maseru,Machabeng College Lesotho,High,,f_pak
1110,Liberia,Monrovia,American International School of Monrovia,High,,f_pak
1111,Libya,Tripoli,American School Tripoli,High,,f_pak
1112,Libya,Benghazi,Benghazi European School,High,,f_pak
1113,Libya,Benghazi,International School Benghazi,High,,f_pak
1114,Libya,Tripoli,International School of Tripoli – GEMS,High,,f_pak
1115,Lithuania,Vilnius,American International School Vilnius,High,,f_pak
1116,Lithuania,Vilnius,British School Vilnius,High,,f_pak
1117,Lithuania,Kaunas,Erudito Licėjus,Medium,Campuses in Kaunas and Vilnius,f_pak
1118,Lithuania,Vilnius,Vilnius International School,High,,f_pak
1119,Luxembourg,Luxembourg,International School of Luxembourg,High,,f_pak
1120,Luxembourg,Luxembourg,St George's International School,High,,f_pak
1121,Macau,Macau,Colégio Diocesano de São José 5,High,,f_pak
1122,Macau,Macau,School of the Nations Macau,High,,f_pak
1123,Macedonia,Skopje,Nova International School,High,,f_pak
1124,Madagascar,Antananarivo,American School of Antananarivo,High,,f_pak
1125,Malawi,Lilongwe,Acacia International School,Medium,,f_pak
1126,Malawi,Lilongwe,Bishop Mackenzie International School,High,,f_pak
1127,Malawi,Mzuzu,Mzuzu International Academy,High,,f_pak
1128,Malawi,Blantyre,St. Andrew's International High School,High,,f_pak
1129,Malawi,Blantyre,St. Andrew's International Primary School,High,,f_pak
1130,Malawi,Zomba,Sir Harry Johnston International School,High,,f_pak
1131,Malaysia,Kuala Lumpur,Alice Smith School,High,Primary in KL; secondary in Seri Kembangan,f_pak
1132,Malaysia,Johor Bahru,Austin Heights International School,High,,f_pak
1133,Malaysia,Seri Kembangan,Australian International School Malaysia,High,"Selangor, Greater KL",f_pak
1134,Malaysia,Kajang,Beaconhouse Newlands International School,Medium,Selangor,f_pak
1135,Malaysia,Kuala Lumpur,British International School Kuala Lumpur,High,,f_pak
1136,Malaysia,Kuala Lumpur,Cempaka International School,High,Cheras,f_pak
1137,Malaysia,Tawau,Charis International School,High,Sabah,f_pak
1138,Malaysia,Kuala Lumpur,Charterhouse Malaysia,High,,f_pak
1139,Malaysia,Penang,Dalat International School,High,"Tanjung Bungah, Penang Island",f_pak
1140,Malaysia,Kajang,Eaton International School,Medium,Selangor,f_pak
1141,Malaysia,Bandar Enstek,Epsom College,High,Negeri Sembilan,f_pak
1142,Malaysia,Kuala Lumpur,EtonHouse Malaysia International School,Medium,,f_pak
1143,Malaysia,Sungai Buloh,Excellence Loyalty Commitment School,High,"elc International School, Selangor",f_pak
1144,Malaysia,Kuala Lumpur,Fairview International School,High,Group with multiple campuses; main KL campus given,f_pak
1145,Malaysia,Johor Bahru,Forest City International School,High,"Forest City, Gelang Patah",f_pak
1146,Malaysia,Kuala Lumpur,Garden International School,High,,f_pak
1147,Malaysia,Penang,GEMS International Pearl City Penang,High,"Simpang Ampat, mainland Penang",f_pak
1148,Malaysia,Kajang,GEMS International School Metropark,High,"Cheras Selatan, Selangor",f_pak
1149,Malaysia,Shah Alam,Help International School,High,Subang Bestari,f_pak
1150,Malaysia,Johor Bahru,International School Johor,Medium,,f_pak
1151,Malaysia,Kuala Lumpur,International School Kuala Lumpur,High,,f_pak
1152,Malaysia,Kuala Lumpur,International School ParkCity,High,,f_pak
1153,Malaysia,Penang,International School Penang (Uplands),High,Batu Kawan,f_pak
1154,Malaysia,Kuala Lumpur,Invictus International School Malaysia – Spring Hill,Medium,,f_pak
1155,Malaysia,Kuala Lumpur,Junior Academy,Low,Could not identify,f_pak
1156,Malaysia,Kota Kinabalu,Kinabalu International School,High,,f_pak
1157,Malaysia,Cyberjaya,King Henry VIII College,High,,f_pak
1158,Malaysia,Kuala Lumpur,Kingsgate International School,Medium,"Kingsgate International School, Mont Kiara",f_pak
1159,Malaysia,Putra Heights,Kingsley International School,Medium,"Subang Jaya, Selangor",f_pak
1160,Malaysia,Mantin,Kolej Tuanku Ja'afar,High,Negeri Sembilan,f_pak
1161,Malaysia,Lembah Beringin,Kolej Yayasan UEM,High,Selangor,f_pak
1162,Malaysia,Iskandar Puteri,Marlborough College,High,Johor,f_pak
1163,Malaysia,Seremban,Matrix Global School,High,Bandar Sri Sendayan,f_pak
1164,Malaysia,Kuala Lumpur,Mont' Kiara International School,High,,f_pak
1165,Malaysia,Putrajaya,Nexus International School,High,,f_pak
1166,Malaysia,Nilai,Nilai International School,High,,f_pak
1167,Malaysia,Kajang,Nobel International School,Medium,Selangor,f_pak
1168,Malaysia,Johor Bahru,Paragon Private and International School,High,,f_pak
1169,Malaysia,Setia Alam,Peninsula International School,Medium,"Shah Alam area, Selangor",f_pak
1170,Malaysia,Penang,Prince of Wales Island International School,High,Balik Pulau,f_pak
1171,Malaysia,Iskandar Puteri,Raffles American School Malaysia,High,Johor,f_pak
1172,Malaysia,Johor Bahru,Repton International School,High,Gelang Patah,f_pak
1173,Malaysia,Kota Kinabalu,Sayfol International School Borneo,High,,f_pak
1174,Malaysia,Johor Bahru,Seri Omega Private & International School,High,,f_pak
1175,Malaysia,Petaling Jaya,Sri KDU International School,High,Kota Damansara,f_pak
1176,Malaysia,Johor Bahru,Sri Utama International School,Medium,,f_pak
1177,Malaysia,Kuala Lumpur,St. Joseph's Institution International Malaysia,High,"Tropicana Metropark, Subang Jaya",f_pak
1178,Malaysia,Penang,Straits International School,High,Also Rawang campus,f_pak
1179,Malaysia,Iskandar Puteri,Sunway International School Iskandar,High,,f_pak
1180,Malaysia,Petaling Jaya,Sunway International School Kuala Lumpur,High,Bandar Sunway,f_pak
1181,Malaysia,Kuala Lumpur,Taylor's International School,High,Also Puchong campus,f_pak
1182,Malaysia,Ipoh,Tenby Schools Ipoh,High,,f_pak
1183,Malaysia,Penang,Tenby Penang,High,,f_pak
1184,Malaysia,Shah Alam,Tenby Schools Setia Eco Park,High,Setia Alam,f_pak
1185,Malaysia,Johor Bahru,Tenby Setia Eco Gardens,High,,f_pak
1186,Malaysia,Kuching,Tunku Putra,High,,f_pak
1187,Malaysia,Port Dickson,UCSI International School,Medium,Also Subang Jaya campus,f_pak
1188,Malaysia,Kampar,Westlake International School,High,Perak,f_pak
1189,Maldives,Male,Ajial International School Maldives,Medium,,f_pak
1190,Mali,Bamako,American International School Bamako,High,,pan_z
1191,Malta,Pembroke,Verdala International School,High,,pan_z
1192,Marshall Islands,Majuro,College of the Marshall Islands,High,,pan_z
1193,Marshall Islands,Kwajalein,Kwajalein School System,High,,pan_z
1194,Marshall Islands,Majuro,Majuro Cooperative School,High,,pan_z
1195,Mauritania,Nouakchott,American International School Nouakchott,High,,pan_z
1196,Mauritania,Nouakchott,TLC International School,Medium,,pan_z
1197,Mauritius,Mapou,International Preparatory School,Medium,,pan_z
1198,Mauritius,Mapou,Northfields International School,High,,pan_z
1199,Mexico,Durango,American School Durango,High,,pan_z
1200,Mexico,Tuxtla Gutierrez,American School Foundation of Chiapas,High,,pan_z
1201,Mexico,Guadalajara,American School Foundation Guadalajara,High,,pan_z
1202,Mexico,Mexico City,American School Foundation Mexico City,High,,pan_z
1203,Mexico,Monterrey,American School Foundation Monterrey,High,,pan_z
1204,Mexico,Pachuca,American School Pachuca,High,,pan_z
1205,Mexico,Puebla,American School Puebla,High,,pan_z
1206,Mexico,Tampico,American School of Tampico,High,,pan_z
1207,Mexico,Torreon,American School Torreon,High,,pan_z
1208,Mexico,Tuxtla Gutierrez,Canadian Center Tuxtla Gutierrez Chiapas,High,,pan_z
1209,Mexico,Leon,Canadian School Leon,High,,pan_z
1210,Mexico,Mexico City,Churchill School Mexico,High,,pan_z
1211,Mexico,Torreon,Colegio Aleman de Torreon,High,,pan_z
1212,Mexico,Mexico City,Colegio Atid Mexico City,High,,pan_z
1213,Mexico,Monterrey,Colegio Ingles Monterrey,High,,pan_z
1214,Mexico,Torreon,Colegio Ingles Torreon,High,,pan_z
1215,Mexico,Monterrey,Colegio Madison,Medium,Group with multiple campuses; Monterrey given,pan_z
1216,Mexico,Cuernavaca,Colegio Marymount,Medium,,pan_z
1217,Mexico,Tepotzotlan,Colegio Mount Rushmore,High,State of Mexico,pan_z
1218,Mexico,Mexico City,Colegios Peterson,High,Multiple campuses in Mexico City area,pan_z
1219,Mexico,Mexico City,Edron Academy Mexico City,High,,pan_z
1220,Mexico,Mexico City,Escuela Sierra Nevada,Medium,Interlomas/Huixquilucan campus,pan_z
1221,Mexico,Mexico City,Eton School Mexico City,High,,pan_z
1222,Mexico,Monterrey,Euroamerican School of Monterrey,High,,pan_z
1223,Mexico,Mexico City,Greengates School Mexico City,High,,pan_z
1224,Mexico,Mexico City,Humanitree,High,,pan_z
1225,Mexico,Monterrey,"Instituto San Roberto, Monterrey",High,,pan_z
1226,Mexico,Mexico City,Instituto Thomas Jefferson,Medium,Multiple campuses; Mexico City area,pan_z
1227,Mexico,Queretaro,JFK American School Queretaro,High,,pan_z
1228,Mexico,Queretaro,John F Kennedy School,Medium,Possible duplicate of JFK American School Queretaro,pan_z
1229,Mexico,Mexico City,Lancaster School,Medium,,pan_z
1230,Mexico,Merida,Madison International School Merida,High,,pan_z
